year,designer,cluster,file_name
2012,Bernhard Willhelm,289,2012~Bernhard Willhelm~223fe98b4df1a3dff0808f65a7801e3e3d2cdec5c94793b70a9e5f90d2a54eb9.jpg
2002,Christian Tournafol,289,2002~Christian Tournafol~af1aa2e102ad7a7926c1ef55bda1c52d2bfe5f3ba1da4b2dfe823a1a731c9a21.jpg
2002,Louis Vuitton,289,2002~Louis Vuitton~910b368f70a8ac147336e8a4e0431dcaa1d5192cab015090b73061ae4908ad7c.jpg
2005,Anna Molinari,289,2005~Anna Molinari~c74854b5fd201a96e3dc6c70306125d1d68afb1ffc2113be9dd2261e30846d1f.jpg
2012,Anthony Vaccarello ,289,2012~Anthony Vaccarello ~a8dc67c64fcf57d7bafbbed02be771fa6adcd7cf82b9effb8b0f468616fcb9b7.jpg
2010,Louise Goldin ,289,2010~Louise Goldin ~64ce2aade4280a88b86d062f9cf4841c49bbebaab87359225389d6d6ec0821f3.jpg
2011,Emilio De La Morena ,289,2011~Emilio De La Morena ~a65648bf7e7217d5953ec5989bc8cb693b72fa9c05166a96b48d301fba2944a7.jpg
2004,Chanel,289,2004~Chanel~1bd24a32a622494ae648c44011db080a870bcf6ec713407f335982d3c2349e3e.jpg
2006,Alexander McQueen,289,2006~Alexander McQueen~d74349d5a412d4755ac3fd629ab34bb6d398c7b9a319026de5eaaa530cc0c17b.jpg
2009,Xterity London,289,2009~Xterity London~5eb0b12ad4ad617ae5195bcac852a012b313ed0010ca13a230313b95535f6174.jpg
2005,Roland Mouret,289,2005~Roland Mouret~f8fdb99f142f0e114bfc3050c4a5d13525454ae28976404fa5f205533593e690.jpg
2013,Akris Womenswear Spring-Summer 2013,295,2013~Akris Womenswear Spring-Summer 2013~7da0ce2ed9eebd5ef7056c022f73242bafd649ebb0c40516db42a0fb8b1e1966.jpg
2010,Alma Aguilar,295,2010~Alma Aguilar~740f18a182c848aed7bb9cd0f1e3e83a258e80c33b3914d9e757d05281b043c5.jpg
2012,Thakoon ,295,2012~Thakoon ~4a9ce1f7b6fde0f8380581f41944677ae2ce4cbc2d3a20d98cb65c438d659239.jpg
2009,Xterity London,295,2009~Xterity London~9c7b4f4a81c75f0a7cf8978f6aceb4848f68837607004c6b52ad97d1228b3e98.jpg
2010,Mila Schön,295,2010~Mila Schön~9fe873daca00b684f2b73b8923541395e5fb0dd1a36d747462469d78b0cd7b1c.jpg
2013,Ulyana Sergeenko,295,2013~Ulyana Sergeenko~258943e2a67c3517671fa58fca5525c78459ab0d199548207ad568e5c8902c62.jpg
2012,Kinder Aggugini,295,2012~Kinder Aggugini~11e0b6cfe14757e59e0c8a17703ce64f002bc52ef8d8a2a6382c8f386ae34a58.jpg
2010,Oscar De La Renta ,295,2010~Oscar De La Renta ~cab22f8aa5fdac6e2fc7c0f3ce6bdfde3cc6b1d719cf97377bc849eecaa12a21.jpg
2011,Ermanno Scervino ,295,2011~Ermanno Scervino ~c58c3d1c497a625cea329ee89f6abbecdd5846a101052b2cef325b457ff08160.jpg
2010,Nicole Miller ,295,2010~Nicole Miller ~010fdd572f68b4c402894216a2d7111e5618f21533860d3408919c1045923c33.jpg
2007,Barbara Bui,295,2007~Barbara Bui~0a68fe92807ed2fa326a6501a2ef36a9a23c04a122392c1cce940b3cfa5dce8d.jpg
2002,Céline,295,2002~Céline~8c19f31091c6e2228d805d9c334a44e69f74105bb9f85e8c33072d5fd071ba13.jpg
2001,Sportmax,295,2001~Sportmax~3f2d6a8ce538557bb95a0e4ca627e2930e7fb5dcaaae351034607398b1da1f4e.jpg
2008,Joline Jolink,297,2008~Joline Jolink~4df02acc3089db26aa72d48f64838000627e5aca9d6c00f0d1cb20beb3a94534.jpg
2002,Hussein Chalayan,297,2002~Hussein Chalayan~7360cdee299026d10efc6226c35953e5933e0c40fc6091625818ecedccc6c890.jpg
2006,Hussein Chalayan,297,2006~Hussein Chalayan~c1a9ed702ea0a3cc18a15faa5f344d413dac19440f80c77adeda3a5eeac1c59d.jpg
2010,Luca Luca,297,2010~Luca Luca~04657f35bcf0b0fbf9d4c74ee766b2526e6440b7b0b4afbbf2885af9379b640a.jpg
2009,La Perla,297,2009~La Perla~8884eb1221caf518d0a9463c178f08cf67953677debd533d3d8900fbb142eb53.jpg
2010,Proenza Schouler ,297,2010~Proenza Schouler ~0fe77bafbeba3b836aaec3cf6cfd7f159746f75460775a47b81902fcec5e3e8f.jpg
2012,Cynthia Rowley,297,2012~Cynthia Rowley~617884d9cbc488e1327c8e374b1d6b5c6745815ee39f2441930e733e38198e98.jpg
2008,Carlos Miele,297,2008~Carlos Miele~c58c0813e9e302ad8910f224437489e6f502722b7509ba5b50a3f8fe634f603c.jpg
2009,Cushnie et Ochs,297,2009~Cushnie et Ochs~90de8688d0ddc9dc29957f98582afb1e2f4a54507c2ac631d5b66cdfcf64268c.jpg
2002,Gaspard Yurkievich,297,2002~Gaspard Yurkievich~c392ac13d839ea8d7405115b2466a379f52794258b0dbdbae2612e87edaee050.jpg
2010,Charlotte Ronson ,297,2010~Charlotte Ronson ~013788cdb588ef3c8370ea501bd87f928c76778f7a0dabb0f810fbb29f558eb8.jpg
2010,Susan Woo,297,2010~Susan Woo~8c62f209fa3ba6793fe50ea2fc9d93c8b031f3899a1f19e65033f6e7b4147397.jpg
2012,United Bamboo,297,2012~United Bamboo~a93744345eecd4b8aa8af64605dba981ee45153e9caa9cb56aec98dbb379204c.jpg
2005,Gianfranco Ferre,310,2005~Gianfranco Ferre~7e76f28dbcf29d96d0d9b64def1c9e7fee766d092af734e40036c438256867b8.jpg
2002,Hugo Boss,310,2002~Hugo Boss~98885e0dbd64e966cda830d65f51d73f49aadb5483f15506af63828633b96323.jpg
2007,Perry Ellis,310,2007~Perry Ellis~67f7ae3a5413c3c8945de45358b9a07ce04373e754df7262b81c913af5601d4a.jpg
2002,Giorgio Armani,310,2002~Giorgio Armani~935522f03fb8ca13db0ab61dd434d59afaf8e37f58c43da0580fa82c58742540.jpg
2008,DKNY,310,2008~DKNY~79fce4ece72233a47143afcfd1adf815ba9621b203f57e2a1de00c443c8e5d5d.jpg
2008,Versace,310,2008~Versace~a2c560e23e39e1b3ae2a20715f124bdfbaabaad8721fde5cc6fe0c76d405d2a7.jpg
2012,Diesel Black Gold ,310,2012~Diesel Black Gold ~3efd6fb9458c84964a1bd1a14fdc75b76cf8e2fe319c1f47be62c14c33ba8ca4.jpg
2002,Gianni Versace,310,2002~Gianni Versace~0ed536a99b94a74218628055a7d026625e88f7ced3ddf9cafc5a5e9eae0f68cb.jpg
2006,Eley Kishimoto,310,2006~Eley Kishimoto~cd4ea7ed46d9eed59d6d4c4a722869385eaa313c5067789a198aaa91013c1687.jpg
2012,Giorgio Armani ,310,2012~Giorgio Armani ~b8928537a114e0735ba850d83235e3f92bc3c785012b6ca1ccdc7fda6a49a821.jpg
2007,Paul Smith,310,2007~Paul Smith~f566f65d89a9d0321baf9290bd823ba5bab3ea05c51f885d144e39744aa6e2ce.jpg
2004,Own,310,2004~Own~53ef42cd9241e4220b9909c2e78186aa101c2aa49fe71dab3d47a80a713b1f0a.jpg
2007,Alena Akhmadullina,310,2007~Alena Akhmadullina~54ac35dbae74a15581fe9496a49681a1fdc588f8723138e6f1bd4e7fa154a845.jpg
2012,Jesus del Pozo,316,2012~Jesus del Pozo~54afd0f94ccfd035e38beed9d9f31194591ca83599f27b8be7c620fdfe863b53.jpg
2013,Xu Yuan Xin Central Saint Martins - London 2013,316,2013~Xu Yuan Xin Central Saint Martins - London 2013~c795f22d2286a60acdbe73310ecc3b47d5df3c6a0b08a08af334420dc9135de9.jpg
2003,Biagiotti Roma,316,2003~Biagiotti Roma~676aa62700028067e130f2c439a9dcd11d3b8f0ff1e0decb722b0e9345a929b6.jpg
2007,Generra,316,2007~Generra~8e1f715b84814398a72eaa7c6b1530fb03b778affc12f657f695970aeb486b58.jpg
2004,Max Mara,316,2004~Max Mara~ee3dd400342d838983c3d339d59eb5c1abaa9a375647d288b96b137c30179d5e.jpg
2003,Dice Kayek,316,2003~Dice Kayek~c2280d8ad49d39aa05c99594f32fa9217999e7cd2d702289023778fb0d3149e9.jpg
2010,Rick Owens,316,2010~Rick Owens~80f54579cbbc059d11fe8de8ab65fa8d990ad576f53be44df96ddf52c22d69c5.jpg
